Address,Cuisine_Type,Cuisines,Features,Location,Meals,Price,Price_Range,Restaurant,Special_Diets,Segment,Cuisine_Category
"125 Inverness Plz, Birmingham, AL 35242-4801","American,Cajun & Creole,Seafood","American, Seafood, Cajun & Creole","Outdoor Seating, Seating, Parking Available, Television, Wheelchair Accessible, Takeout, Highchairs Available, Serves Alcohol, Table Service",AL 35242-4801,"Lunch, Dinner",$$ - $$$,,Crazy Cajuns' Boiling Pot,,FSR,Geography/Ethnic
"1463 Opelika Rd, Auburn, AL 36830-3317",American,American,"Seating, Highchairs Available, Wheelchair Accessible, Takeout, Table Service",AL 36830-3317,"Breakfast, Lunch, Dinner, Brunch",$,,IHOP,,LSR,Geography/Ethnic
"1580 Montgomery Hwy, Hoover, AL 35216-4586",,,Gift Cards Available,AL 35216-4586,"Lunch, Dinner",,,Papa Murphy's Take 'N' Bake Pizza,,FSR,Food-Centric
"3431 Colonnade Pkwy Ste 500, Birmingham, AL 35243-3232","American,Barbecue","American, Barbecue","Takeout, Seating, Wheelchair Accessible, Reservations, Television, Highchairs Available, Table Service",AL 35243-3232,"Lunch, Dinner",$$ - $$$,,Johnny Ray's Bar-B-Que,,Bar/Club,Geography/Ethnic
"3555 Roosevelt Blvd, Birmingham, AL 35235-3188","Italian,Vegetarian Friendly,Vegan Options",Italian,,AL 35235-3188,"Lunch, Dinner",$$ - $$$,,Olive Garden,"Vegan Options, Vegetarian Friendly",FSR,Geography/Ethnic
"5426 U.s. 280 Ste 14, Birmingham, AL 35242-6599","Indian,Vegetarian Friendly,Vegan Options",Indian,,AL 35242-6599,,$$ - $$$,$5 - $17,Bay Leaf Indian Cuisines,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"706 Valley Ave, Birmingham, AL 35209-3306","Chinese,Asian,Szechuan","Chinese, Asian",,AL 35209-3306,"Lunch, Dinner",$$ - $$$,$15 - $15,Great Wall Chinese Restaurant,,FSR,Geography/Ethnic
"200 W Glenn Ave Suite 350, Auburn, AL 36830-4703",,,,AL 36830-4703,"Lunch, Dinner",,,Tiger VR Cafe,,FSR,Food-Centric
"1479 Fox Run Pkwy, Opelika, AL 36801-5900",American,American,"Takeout, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover",AL 36801-5900,"Lunch, Dinner",,,Louie's Chicken Fingers of Opelika,,FSR,Geography/Ethnic
"4520 Overton Road, Birmingham, AL 35210","Mediterranean,Greek,Vegetarian Friendly","Greek, Mediterranean",,AL 35210,"Lunch, Dinner",$$ - $$$,,Taziki's Mediterranean Cafe,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"5184 Caldwell Mill Rd, Birmingham, AL 35244-1912",,,Seating,AL 35244-1912,"Lunch, Dinner",,,The Craft Burger,,FSR,Food-Centric
"3590 Grandview Pkwy, Birmingham, AL 35243-1946","American,Pub","American, Pub","Seating, Wheelchair Accessible, Serves Alcohol, Takeout, Table Service",AL 35243-1946,"Breakfast, Lunch, Dinner",$$ - $$$,,River City Grille at The Birmingham Marriott,,Bar/Club,Geography/Ethnic
"4673 Highway 280 Ste 1, Birmingham, AL 35242-5086","Italian,Pizza,Vegetarian Friendly","Italian, Pizza",,AL 35242-5086,"Dinner, Lunch",$$ - $$$,,Salvatore's Pizza And Pasta,Vegetarian Friendly,FSR,Geography/Ethnic
"2005 Valleydale Rd, Hoover, AL 35244-2036",Deli,Deli,,AL 35244-2036,,,,Marilyn,,FSR,Food-Centric
"1830 29th Ave S Ste 115, Birmingham, AL 35209","Mediterranean,Vegan Options",Mediterranean,,AL 35209,"Lunch, Dinner",$,,Zoes Kitchen,Vegan Options,LSR,Geography/Ethnic
"2500 John Hawkins Parkway, Hoover, AL 35244",,,,AL 35244,"Lunch, Dinner",,,Arby's,,FSR,Food-Centric
"1020 20th St S, Birmingham, AL 35205-2606","Chinese,Asian,Vegetarian Friendly","Chinese, Asian",,AL 35205-2606,,$,$10 - $10,New China Town Restaurant INC,Vegetarian Friendly,LSR,Geography/Ethnic
"3400 Colonnade Pkwy, Birmingham, AL 35243-2355","Italian,Pizza,Fast Food","Pizza, Italian, Fast Food",Wheelchair Accessible,AL 35243-2355,Dinner,,,Marco's Pizza,,LSR,Geography/Ethnic
"1819 5th Ave N Ste B, Birmingham, AL 35203","Vegetarian Friendly,Vegan Options",,"Takeout, Wheelchair Accessible",AL 35203,"Lunch, Dinner",$$ - $$$,,Zoes Kitchen,"Vegetarian Friendly, Vegan Options",FSR,Food-Centric
"2201 3rd Ave N, Birmingham, AL 35203-3813",American,American,"Seating, Wheelchair Accessible, Takeout",AL 35203-3813,"Lunch, Breakfast",$,,Magic City Grille,,LSR,Geography/Ethnic
"180 State Farm Pkwy, Birmingham, AL 35209-7186",Seafood,Seafood,,AL 35209-7186,"Lunch, Dinner, Drinks",$$ - $$$,$10 - $30,Seafood King,,FSR,Food-Centric
"2901 2nd Ave S, Birmingham, AL 35233-2900","Mexican,Southwestern","Mexican, Southwestern",,AL 35233-2900,"Dinner, Lunch",$$ - $$$,$10 - $15,Cantina,,FSR,Geography/Ethnic
"1540 Montclair Rd, Birmingham, AL 35210-2225","Mexican,Southwestern,Vegetarian Friendly","Mexican, Southwestern",,AL 35210-2225,"Lunch, Dinner",$,,El Cazador,Vegetarian Friendly,LSR,Geography/Ethnic
"2910 6th Ave S, Birmingham, AL 35233-2902","German,Bar,European","Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Takeout, Street Parking, Free Off-Street Parking, Free Wifi","German, Bar, Central European, European, Gastropub",AL 35233-2902,"Dinner, Lunch, Late Night, Drinks",$$ - $$$,$6 - $25,Brät Brot,,Bar/Club,Geography/Ethnic
"2005 Valleydale Rd Suite 6, Birmingham, AL 35244-2036","Chinese,Japanese,Sushi","Chinese, Japanese, Sushi",,AL 35244-2036,"Lunch, Dinner",$$ - $$$,,Ooka Chinese & Japanese Restaurant,,FSR,Geography/Ethnic
"790 Montgomery Hwy Suite 104, Birmingham, AL 35216-1872","Asian,Thai","Asian, Thai",,AL 35216-1872,"Lunch, Dinner",$$ - $$$,$7 - $20,Masaman Thai Kitchen,,FSR,Geography/Ethnic
"401 N Alice St, Dothan, AL 36303-4411",,,,AL 36303-4411,"Lunch, Dinner",,,Mildred's Restaurant & Tea Room,,FSR,Food-Centric
"1101 Dunston Ave, Birmingham, AL 35213-2132","Pizza,Vegetarian Friendly",Pizza,,AL 35213-2132,"Lunch, Dinner, Brunch",$$ - $$$,,Basil Gourmet Pizza and Wine Bar,Vegetarian Friendly,FSR,Food-Centric
"4650 W Main St Suite 804, Dothan, AL 36305-9419",Chinese,Chinese,,AL 36305-9419,,,,China Wok,,FSR,Geography/Ethnic
"1483 Gadsden Hwy Suite 132, Birmingham, AL 35235-3160",Fast Food,Fast Food,"Wheelchair Accessible, Seating",AL 35235-3160,"Lunch, Dinner",$,,Firehouse Subs,,LSR,Food-Centric
"900 Commons Dr Ste 821, Dothan, AL 36303-2283",,,,AL 36303-2283,,,,Auntie Anne's,,FSR,Food-Centric
"1067 Ross Clark Circle South, Dothan, AL 36303",,,,AL 36303,"Breakfast, Lunch, Dinner",,,Sonic Drive-In,,FSR,Food-Centric
"507 North Oates, Dothan, AL 36303",Fast Food,Fast Food,,AL 36303,"Lunch, Dinner",,,Church's Chicken,,LSR,Food-Centric
"2204 Ross Clark Cir, Dothan, AL 36301-5060",,,,AL 36301-5060,"Lunch, Dinner",,,Checkers,,FSR,Food-Centric
"101 Apple Ave., Dothan, AL 36301",,,,AL 36301,"Breakfast, Lunch, Dinner",,,Wendy's,,FSR,Food-Centric
"224 Honeysuckle Rd Suite 2, Dothan, AL 36305",,,,AL 36305,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"240 E 24th Ave Waterway Village, Gulf Shores, AL 36542-3146","American,Bar,Seafood","Outdoor Seating, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Takeout, Live Music, Waterfront, Playgrounds","American, Bar, Seafood",AL 36542-3146,"Lunch, Dinner, Brunch",$$ - $$$,,Tacky Jacks Gulf Shores,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Bar/Club,Geography/Ethnic
"4740 W Main St, Dothan, AL 36303",,,,AL 36303,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"3107 Montgomery Hwy, Dothan, AL 36303-2163",,,,AL 36303-2163,"Lunch, Dinner",,,Checkers,,FSR,Food-Centric
"3835 W Main St, Dothan, AL 36305-9394",,,,AL 36305-9394,,,,My Pie Pizza Dothan,,FSR,Food-Centric
"4650 W. Main Street Suite 807, Dothan, AL 36305",,,,AL 36305,"Lunch, Dinner",,,Subway,,FSR,Food-Centric
"4624 W. Main Street, Dothan, AL 36305",,,,AL 36305,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Food-Centric
"19992 State Highway 181, Fairhope, AL 36532-4841","American,Grill","Takeout, Outdoor Seating, Seating, Parking Available, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Credit Cards, Wheelchair Accessible, Live Music, Gift Cards Available","American, Grill",AL 36532-4841,"Lunch, Dinner, Drinks, Late Night",$$ - $$$,$5 - $25,BILL-E's,,LSR,Geography/Ethnic
"1558 Westgate Pkwy, Dothan, AL 36303-5632",,,,AL 36303-5632,,,,Pizza Express,,FSR,Food-Centric
"4185 Montgomery Hwy, Dothan, AL 36303-1518",,,,AL 36303-1518,"Breakfast, Lunch, Dinner",,,Dunkin',,FSR,Food-Centric
"4220 Ross Clark Circle N W, Dothan, AL 36303",,,,AL 36303,"Breakfast, Lunch, Dinner",,,Burger King,,FSR,Food-Centric
"1912 SE Ross Clark Cir, Dothan, AL 36301",,,,AL 36301,"Lunch, Dinner",,,Pizza Hut,,FSR,Food-Centric
"2336 Ross Clark Circle, Dothan, AL 36301",,,,AL 36301,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"4930 W State Hwy 52 Suite 16, Dothan, AL 36305",,,,AL 36305,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"2203 Ross Clark Circle S W, Dothan, AL 36301",,,,AL 36301,"Breakfast, Lunch, Dinner",,,Burger King,,FSR,Food-Centric
"100 Apple Avenue #6 6, Dothan, AL 36303",,,,AL 36303,"Lunch, Dinner",,,Barberitos Southwestern Grille & Cantina,,FSR,Food-Centric
"4468-2 West Main Street, Dothan, AL 36305",,,,AL 36305,"Lunch, Dinner",,,Kfc,,FSR,Food-Centric
"4310 Montgomery Hwy, Dothan, AL 36303",,,,AL 36303,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"1560 Highway 77, Gadsden, AL 35907",Mexican,Mexican,,AL 35907,"Lunch, Dinner",,,Taco Bell,,FSR,Geography/Ethnic
"354 East Meighan Blvd, Gadsden, AL 35903",,,,AL 35903,"Breakfast, Lunch, Dinner",$,,Sonic Drive-In,,LSR,Food-Centric
"200 N 12th St, Gadsden, AL 35901-3550",,,,AL 35901-3550,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"1107 West Meighan Blvd, Gadsden, AL 35901",,,,AL 35901,"Lunch, Dinner",,,Daffy's Frozen Custard,,FSR,Food-Centric
"2070 Alabama 77, Gadsden, AL 35907",,,,AL 35907,,,,The Ice Cream Shop,,FSR,Food-Centric
"917 Rainbow Dr, Gadsden, AL 35901-5309","American,Seafood","Seafood, American",,AL 35901-5309,,$,,Captain D's,,LSR,Geography/Ethnic
"3745 Alford Bend Rd, Gadsden, AL 35903-4810",,,,AL 35903-4810,,,,Julio's Pizza,,FSR,Food-Centric
"340 East Meighan Blvd., Gadsden, AL 35903",,,,AL 35903,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"500 E Meighan Blvd, Gadsden, AL 35903-1914",,,,AL 35903-1914,,,,Panda Express,,FSR,Food-Centric
"63 S Church St, Fairhope, AL 36532-2343","American,Vegetarian Friendly,Vegan Options",American,,AL 36532-2343,"Lunch, Dinner, Brunch, Breakfast, Drinks",$$$$,,The Fairhope Inn & Restaurant,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"118 E Broad St, Gadsden, AL 35903-1516",,,,AL 35903-1516,"Lunch, Dinner",,,Shanghai Express,,FSR,Food-Centric
"509 Fairhope Ave, Fairhope, AL 36532-2116",,,,AL 36532-2116,"Breakfast, Lunch, Dinner",,,The Eat Beat Llc,,FSR,Food-Centric
"4500 Montevallo Rd Ste B103, Birmingham, AL 35210-3129","Chinese,Asian","Chinese, Asian","Takeout, Seating, Table Service",AL 35210-3129,"Lunch, Dinner",$$ - $$$,,Shangri-La,,FSR,Geography/Ethnic
"111 Greeno Rd N, Fairhope, AL 36532",,,,AL 36532,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"25 Greeno Road S Eastern Shore Shopping Center, Fairhope, AL 36532",,,Wheelchair Accessible,AL 36532,,$,,Hardee's,,LSR,Food-Centric
"9115 US Highway 98, Fairhope, AL 36532-5822",,,,AL 36532-5822,Dinner,,,Double Deuce,,FSR,Food-Centric
"241 S Greeno Rd, Fairhope, AL 36532","American,Pizza","Pizza, American",Wheelchair Accessible,AL 36532,"Lunch, Dinner",$,,Pizza Hut,,LSR,Geography/Ethnic
"202 S Mobile St, Fairhope, AL 36532-1310",,,,AL 36532-1310,,,,Cheffy By The Bay,,FSR,Food-Centric
"321 S. Greeno Road, Fairhope, AL 36532",Fast Food,Fast Food,,AL 36532,"Breakfast, Lunch, Dinner",$,,Sonic Drive-In,,LSR,Food-Centric
"218 Fairhope Ave suite B, Fairhope, AL 36532",,,,AL 36532,"Lunch, Dinner",,,Fairhope Sweet Shop,,FSR,Food-Centric
"80 Plantation Point, Fairhope, AL 36532",,,,AL 36532,"Lunch, Dinner",,,Subway,,FSR,Food-Centric
"719 Bank St NE, Decatur, AL 35601-1609","Bar,Pub","Bar, Pub","Seating, Table Service",AL 35601-1609,"Dinner, Lunch",$$ - $$$,,Bank Street,,Bar/Club,Beverage-Centric
"10040 Country Rd 48 Wm#4333 Walmart, Fairhope, AL 36532",,,,AL 36532,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"2041A Beltline Rd SW, Decatur, AL 35601-5515","American,Bar,Pub","American, Bar, Pub",,AL 35601-5515,"Lunch, Dinner",$$ - $$$,,Applebee's Grill + Bar,Vegetarian Friendly,Bar/Club,Geography/Ethnic
"407 Beltline Rd SW, Decatur, AL 35601-6375","American,Vegetarian Friendly",American,,AL 35601-6375,"Brunch, Breakfast, Lunch, Dinner",$$ - $$$,,Cracker Barrel,Vegetarian Friendly,FSR,Geography/Ethnic
"880 Holcomb Blvd Suite 1C, Fairhope, AL 36532-0807",,,,AL 36532-0807,,,,J.A.M. Cakery,,FSR,Food-Centric
"104 S Owa Blvd Ste B, Foley, AL 36535",American,American,,AL 36535,,$,$2 - $15,Sweet Tooth at OWA,,LSR,Geography/Ethnic
"17855 Scenic Highway 98, Fairhope, AL 36532-7179",American,American,Reservations,AL 36532-7179,,$$ - $$$,$17 - $32,Grand Hall,,FSR,Geography/Ethnic
"19992 State Highway 181 Suite B, Fairhope, AL 36532-4841","Cajun & Creole,Seafood","Cajun & Creole, Seafood",,AL 36532-4841,"Lunch, Dinner",,,Crawfish Wagon,,FSR,Food-Centric
"1401 Highway 67 S, Decatur, AL 35603-6317","American,Seafood","American, Seafood","Takeout, Seating, Wheelchair Accessible, Highchairs Available, Table Service",AL 35603-6317,"Lunch, Dinner, Breakfast",$$ - $$$,,Libby's Catfish and Diner,,FSR,Geography/Ethnic
"713 S McKenzie St., Foley, AL 36535",,,,AL 36535,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"1241 Point Mallard Pkwy SE, Decatur, AL 35601-6521","Chinese,Sushi,Asian","Chinese, Sushi, Asian","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Table Service",AL 35601-6521,"Lunch, Dinner",$$ - $$$,,Fulins Asian Cuisine,,FSR,Geography/Ethnic
"404 6th Ave NE, Decatur, AL 35601-2404",Mexican,Mexican,"Takeout, Seating, Wheelchair Accessible",AL 35601-2404,"Lunch, Dinner",$$ - $$$,,Mi Hacienda Mexican Restaurant,,FSR,Geography/Ethnic
"910 South Mc Kenzie, Foley, AL 36535-1813",,,,AL 36535-1813,"Breakfast, Lunch, Dinner",,,Robert Lee,,FSR,Food-Centric
"14809 State Highway 59, Foley, AL 36535-2349",Mexican,Mexican,,AL 36535-2349,,,,La Mexicana Tacos,,FSR,Geography/Ethnic
"17714 US Highway 98, Foley, AL 36535-8740",,,,AL 36535-8740,Dinner,,,Silver Dollar,,FSR,Food-Centric
"109 S Owa Blvd Ste A, Foley, AL 36535-6529",,,,AL 36535-6529,,,,Auntie Anne's,,FSR,Food-Centric
"8154 State Highway 59 Suite 205, Foley, AL 36535-4511","American,Contemporary","American, Contemporary",,AL 36535-4511,,$,$5 - $13,BB’s Health Food Store and More,,LSR,Geography/Ethnic
"11487 Co Rd. 65 Corner West Michigan Avenue, Foley, AL 36535-4175",American,American,,AL 36535-4175,,$,$4 - $14,Dinner Bell Kitchen & Smokehouse,,LSR,Geography/Ethnic
"2812 Spring Ave SW, Decatur, AL 35603-3216","Mexican,Grill,Vegetarian Friendly","Mexican, Grill",,AL 35603-3216,"Lunch, Dinner",$,,Casa Santiago Mexican Grill,Vegetarian Friendly,LSR,Geography/Ethnic
"17714 US Highway 98, Foley, AL 36535-8740","American,Barbecue","American, Barbecue",,AL 36535-8740,,,,Goodtime Charley's Blues Cafe,,Bar/Club,Geography/Ethnic
"1010 S McKenzie St, Foley, AL 36535",,,Drive Thru,AL 36535,"Breakfast, Lunch, Dinner",$,,McDonald's,,LSR,Food-Centric
"24890 State St Suite B, Elberta, AL 36530",,,,AL 36530,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"25151 Hwy 98, Elberta, AL 36530",American,American,,AL 36530,"Breakfast, Lunch",,,Tiffany's,,FSR,Geography/Ethnic
"1213 Point Mallard Pkwy SE, Decatur, AL 35601-6531","American,Steakhouse","American, Steakhouse","Takeout, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",AL 35601-6531,"Lunch, Dinner",$$ - $$$,,LongHorn Steakhouse,,FSR,Geography/Ethnic
"3075 Highway 20, Decatur, AL 35601-7527","Barbecue,Grill","Grill, Barbecue","Takeout, Wheelchair Accessible, Seating",AL 35601-7527,Lunch,$,,Smokey C's BBQ and Wings,,Bar/Club,Food-Centric
"1241 Point Mallard Pkwy SE Ste 115, Decatur, AL 35601","Japanese,Sushi,Asian","Japanese, Sushi, Asian",,AL 35601,"Dinner, Lunch",$$ - $$$,,Ninja Japanese sushi & grill,Vegetarian Friendly,FSR,Geography/Ethnic
"12456 Sandy Ln, Foley, AL 36535-4827",,,,AL 36535-4827,,,,Chester's Hot Pot,,FSR,Food-Centric
"2224 6th Ave SE, Decatur, AL 35601-6512","Mexican,Vegetarian Friendly",Mexican,,AL 35601-6512,"Lunch, Dinner, Breakfast",$,,Las Vias Mexican Grill,Vegetarian Friendly,LSR,Geography/Ethnic
"608 Holly St NE, Decatur, AL 35601-2642","American,Barbecue","American, Barbecue","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Table Service",AL 35601-2642,"Lunch, Dinner",$$ - $$$,,B.B. Perrin's Sports Bar & Grill,,Bar/Club,Geography/Ethnic
"2520 Danville Rd SW, Decatur, AL 35603-4213","American,Barbecue","Takeout, Seating, Parking Available, Highchairs Available, Wheelchair Accessible","American, Barbecue",AL 35603-4213,"Lunch, Dinner",$$ - $$$,,Big Bob Gibson's Bar-B-Que,,Bar/Club,Geography/Ethnic
"202 Moulton St E, Decatur, AL 35601-2324","American,Bar,Pizza","American, Pizza, Bar",,AL 35601-2324,"Lunch, Dinner, Late Night, Drinks",$$ - $$$,,Mellow Mushroom,"Vegetarian Friendly, Vegan Options",Bar/Club,Geography/Ethnic
"2315 Beltline Rd SW, Decatur, AL 35601-3619","American,Steakhouse,Bar","American, Steakhouse, Bar","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Television, Highchairs Available",AL 35601-3619,"Dinner, Lunch",$$ - $$$,,Logan's Roadhouse,,Bar/Club,Geography/Ethnic
"1223 McFarland Blvd NE, Tuscaloosa, AL 35406-2205","Chinese,Asian,Taiwanese","Chinese, Asian, Taiwanese",,AL 35406-2205,"Lunch, Dinner",$$ - $$$,,Lai Lai Restaurant,Vegetarian Friendly,FSR,Geography/Ethnic
"1024 State Highway 59 S, Summerdale, AL 36580-4158",,,,AL 36580-4158,,,,Waffle House #1805,,FSR,Food-Centric
"2107 University Blvd, Tuscaloosa, AL 35401-1539","Pub,Gastropub","Pub, Gastropub","Seating, Accepts Credit Cards, Table Service",AL 35401-1539,"Lunch, Dinner",$$ - $$$,,World of Beer,,Bar/Club,Beverage-Centric
"1800 McFarland Blvd E Suite 412, Tuscaloosa, AL 35404-5874","American,Steakhouse","American, Steakhouse","Takeout, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",AL 35404-5874,"Lunch, Dinner",$$ - $$$,,LongHorn Steakhouse,,FSR,Geography/Ethnic
"1102 Beltline Rd SE, Decatur, AL 35601-6546","Italian,Vegetarian Friendly,Vegan Options",Italian,,AL 35601-6546,"Lunch, Dinner",$$ - $$$,,Olive Garden,"Vegetarian Friendly, Gluten Free Options, Vegan Options",FSR,Geography/Ethnic
"9750 Highway 69 S, Tuscaloosa, AL 35405-8777",Barbecue,Barbecue,"Takeout, Seating, Wheelchair Accessible",AL 35405-8777,"Lunch, Dinner",$$ - $$$,,Dickey's Barbecue Pit,,Bar/Club,Food-Centric
"1627 Opelika Rd, Auburn, AL 36830-2871",,,,AL 36830-2871,,,,Teriyaki Express,,FSR,Food-Centric
"1703 S College St, Auburn, AL 36832-5870",,,,AL 36832-5870,"Breakfast, Lunch, Dinner",,,Sonic Drive-In,,FSR,Food-Centric
"1907 S College St, Auburn, AL 36832-5897",,,,AL 36832-5897,"Lunch, Dinner",,,Mama Rose,,FSR,Food-Centric
"115.5 Johnston St SE, Decatur, AL 35601-2337","American,Vegetarian Friendly",American,,AL 35601-2337,"Lunch, Breakfast",$$ - $$$,,Curry's on Johnston Street,Vegetarian Friendly,FSR,Geography/Ethnic
"465 Opelika Rd, Auburn, AL 36830-3938",,,,AL 36830-3938,,,,Chester S Chicken Beeline,,FSR,Food-Centric
"3777 Montgomery Hwy, Dothan, AL 36303-2181",,,,AL 36303-2181,,,,Panda Express,,FSR,Food-Centric
"1409 S College St, Auburn, AL 36832-5900",Indian,Indian,,AL 36832-5900,,$$ - $$$,$5 - $20,Good Karma,,FSR,Geography/Ethnic
"5600 McFarland Blvd E, Tuscaloosa, AL 35405-3826","American,Barbecue","American, Barbecue","Takeout, Seating, Wheelchair Accessible",AL 35405-3826,"Lunch, Dinner",$$ - $$$,,Archibald & Woodrows BBQ,,Bar/Club,Geography/Ethnic
"120 E Samford Ave, Auburn, AL 36830-7416",,,,AL 36830-7416,,,,The Ice Cream Shop,,FSR,Food-Centric
"1490 Northbank Parkway Ste 110, Tuscaloosa, AL 35406-2430","American,Vegetarian Friendly,Vegan Options",American,,AL 35406-2430,,$$ - $$$,$5 - $20,Urban Cookhouse,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"7730 Alabama Hwy 51, Opelika, AL 36804",,,,AL 36804,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"1899 Ogletree Rd, Auburn, AL 36830-7606",,,,AL 36830-7606,,,,The Ice Cream Shop,,FSR,Food-Centric
"186 N Gay St, Auburn, AL 36830-4814",,,,AL 36830-4814,,,,The Ice Cream Shop,,FSR,Food-Centric
"Tba, Auburn, AL 36830",,,,AL 36830,,,,The Locavore Cafe,,FSR,Food-Centric
"220 15th St E, Tuscaloosa, AL 35401-3609","Asian,Fusion,Hawaiian","Asian, Fusion, Hawaiian",,AL 35401-3609,,,,Pokerito68,,FSR,Geography/Ethnic
"3700 Robert Trent Jones Trl Auburn Marriott Opelika Resort & Spa at Grand National, Opelika, AL 36801-1118","American,Steakhouse","American, Steakhouse",Reservations,AL 36801-1118,,$$ - $$$,,Southern Oak,,FSR,Geography/Ethnic
"4704 Cahaba River Rd, Birmingham, AL 35243-2344",,,"Takeout, Seating, Wheelchair Accessible",AL 35243-2344,Lunch,$$ - $$$,,Magnolia Cafe,,FSR,Food-Centric
"2057 Tiger Town Pkwy, Opelika, AL 36801-5485",,,,AL 36801-5485,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
